Id,Neighborhood,Date,Price,NetArea,GrossArea,NumberOfRoom,AgeOfBuilding,LocatedFloor,TotalFloor,Bathroom,Balcony,Furniture,RentIncome
696409181,Goztepe ,29.05.2019,700.00,82.00,100.00,3.00,0.00,8.00,9.00,1.00,1.00,0.00,0.00
606568001,Feneryolu ,25.05.2019,700.00,75.00,90.00,3.00,0.00,6.00,8.00,1.00,0.00,0.00,1.00
530380322,Fenerbahce ,23.05.2019,700.00,105.00,125.00,4.00,30.00,1.00,4.00,2.00,1.00,0.00,0.00
662303772,Goztepe ,3.05.2019,700.00,50.00,59.00,3.00,1.00,3.00,12.00,1.00,1.00,0.00,0.00
640790295,Goztepe ,9.05.2019,700.00,90.00,125.00,4.00,0.00,11.00,14.00,2.00,0.00,0.00,0.00
581193695,Feneryolu ,21.06.2018,700.00,75.00,90.00,3.00,0.00,4.00,14.00,1.00,0.00,1.00,0.00
653138814,Feneryolu ,24.05.2019,705.00,77.00,90.00,3.00,0.00,1.00,8.00,2.00,1.00,0.00,0.00
686401314,Goztepe ,21.05.2019,705.00,80.00,110.00,4.00,0.00,11.00,14.00,1.00,0.00,0.00,0.00
696206977,Goztepe ,28.05.2019,705.00,85.00,105.00,4.00,0.00,0.00,5.00,1.00,1.00,0.00,0.00
688180943,Goztepe ,28.05.2019,710.00,70.00,80.00,3.00,4.00,1.00,10.00,1.00,1.00,0.00,1.00
693587113,Fenerbahce ,17.05.2019,710.00,95.00,120.00,3.00,30.00,1.00,4.00,2.00,1.00,0.00,0.00
593439615,Egitim ,2.08.2018,710.00,95.00,125.00,4.00,7.00,4.00,7.00,2.00,1.00,0.00,1.00
691558197,Goztepe ,9.05.2019,710.00,83.00,120.00,3.00,0.00,6.00,12.00,2.00,1.00,0.00,0.00
685657214,Feneryolu ,20.05.2019,710.00,85.00,115.00,3.00,0.00,6.00,11.00,2.00,1.00,0.00,0.00
680208835,Feneryolu ,4.05.2019,715.00,90.00,115.00,4.00,0.00,1.00,6.00,1.00,1.00,0.00,0.00
516069902,Egitim ,8.05.2019,720.00,90.00,100.00,3.00,0.00,8.00,11.00,2.00,1.00,0.00,0.00
682876704,Goztepe ,11.05.2019,720.00,90.00,110.00,4.00,0.00,5.00,8.00,2.00,1.00,0.00,0.00
677756937,Goztepe ,29.05.2019,720.00,80.00,100.00,3.00,0.00,10.00,13.00,1.00,0.00,0.00,0.00
669341363,Zuhtupasa ,21.05.2019,720.00,80.00,90.00,3.00,28.00,4.00,5.00,1.00,1.00,0.00,1.00
